150,aunt's House,0,0,0,0:0:0:0,0,0,0,0:0:0:0,0,0,0,0:0:0:0,0:0:0:0,0,0,0,
150,aunt's House,0,0,0,0:0:0:0,0,0,0,00:00:01:13,1,0,0,0:0:0:0,04:21:32:20,action,stillUpdate,00:00:01:13,
150,aunt's House,0,0,0,0:0:0:0,0,0,0,00:00:01:19,2,0,0,0:0:0:0,04:21:36:81,action,stillUpdate,00:00:00:06,
150,aunt's House,1,0,0,0:0:0:0,0,0,0,00:00:01:19,2,0,0,0:0:0:0,04:21:37:68,action,addInteraction,True,
150,aunt's House,1,0,0,0:0:0:0,0,0,0,00:00:01:55,3,0,0,0:0:0:0,04:21:38:04,action,stillUpdate,00:00:00:36,
150,aunt's House,1,0,1,00:00:00:82,0,0,0,00:00:01:55,3,0,0,0:0:0:0,04:21:38:50,state,newDialog,00:00:00:82,
150,aunt's House,1,0,2,00:00:02:12,0,0,0,00:00:01:55,3,0,0,0:0:0:0,04:21:38:99,state,newDialog,00:00:01:30,
150,aunt's House,1,0,2,00:00:02:12,0,0,0,00:00:01:58,4,0,0,0:0:0:0,04:21:39:44,action,stillUpdate,00:00:00:03,
150,aunt's House,2,0,2,00:00:02:12,0,0,0,00:00:01:58,4,0,0,0:0:0:0,04:21:39:74,action,addInteraction,True,
150,aunt's House,2,0,3,00:00:04:28,0,0,0,00:00:01:58,4,0,0,0:0:0:0,04:21:41:90,state,newDialog,00:00:02:16,
150,aunt's House,2,0,4,00:00:06:66,0,0,0,00:00:01:58,4,0,0,0:0:0:0,04:21:42:13,state,newDialog,00:00:02:38,
150,aunt's House,2,0,5,00:00:09:23,0,0,0,00:00:01:58,4,0,0,0:0:0:0,04:21:42:31,state,newDialog,00:00:02:57,
150,aunt's House,2,0,6,00:00:11:99,0,0,0,00:00:01:58,4,0,0,0:0:0:0,04:21:42:51,state,newDialog,00:00:02:76,
150,aunt's House,2,0,7,00:00:14:96,0,0,0,00:00:01:58,4,0,0,0:0:0:0,04:21:42:71,state,newDialog,00:00:02:97,
150,aunt's House,2,0,8,00:00:18:13,0,0,0,00:00:01:58,4,0,0,0:0:0:0,04:21:42:91,state,newDialog,00:00:03:17,
150,aunt's House,2,0,9,00:00:21:51,0,0,0,00:00:01:58,4,0,0,0:0:0:0,04:21:43:13,state,newDialog,00:00:03:38,
150,aunt's House,2,0,9,00:00:21:51,0,0,0,00:00:06:89,5,0,0,0:0:0:0,04:21:45:28,action,stillUpdate,00:00:05:31,
150,aunt's House,2,0,9,00:00:21:51,0,0,0,00:00:06:93,6,0,0,0:0:0:0,04:21:45:62,action,stillUpdate,00:00:00:04,
150,Memory1_teste,2,0,9,00:00:21:51,04:21:46:85,0,0,00:00:06:93,6,0,0,0:0:0:0,04:21:46:85,event,enteringLocation,Memory1_teste,
150,Memory1_teste,2,0,9,00:00:21:51,04:21:46:85,0,0,00:00:07:51,7,0,0,0:0:0:0,04:21:47:66,action,stillUpdate,00:00:00:58,
150,Memory1_teste,2,0,9,00:00:21:51,04:21:46:85,0,0,00:00:07:56,8,0,0,0:0:0:0,04:21:49:73,action,stillUpdate,00:00:00:05,
150,MainHouse,2,0,9,00:00:21:51,04:21:50:54,0,0,00:00:07:56,8,0,0,0:0:0:0,04:21:50:54,event,enteringLocation,MainHouse,
150,MainHouse,2,0,9,00:00:21:51,04:21:50:54,0,0,00:00:07:93,9,0,0,0:0:0:0,04:21:51:15,action,stillUpdate,00:00:00:37,
150,MainHouse,2,0,9,00:00:21:51,04:21:50:54,0,0,00:00:09:49,10,0,0,0:0:0:0,04:21:54:04,action,stillUpdate,00:00:01:56,
150,MainHouse,2,0,9,00:00:21:51,04:21:50:54,0,0,00:00:09:58,11,0,0,0:0:0:0,04:21:54:26,action,stillUpdate,00:00:00:09,
150,MainHouse,2,0,9,00:00:21:51,04:21:50:54,0,0,00:00:09:78,12,0,0,0:0:0:0,04:21:54:92,action,stillUpdate,00:00:00:20,
150,MainHouse,2,0,9,00:00:21:51,04:21:50:54,0,0,00:00:10:57,13,0,0,0:0:0:0,04:21:55:82,action,stillUpdate,00:00:00:79,
150,MainHouse,2,0,9,00:00:21:51,04:21:50:54,0,0,00:00:10:86,14,0,0,0:0:0:0,04:21:56:44,action,stillUpdate,00:00:00:29,
150,MainHouse,2,0,9,00:00:21:51,04:21:50:54,0,0,00:00:12:00,15,0,0,0:0:0:0,04:21:57:75,action,stillUpdate,00:00:01:14,
150,MainHouse,2,0,9,00:00:21:51,04:21:50:54,0,0,00:00:12:06,16,0,0,0:0:0:0,04:21:59:18,action,stillUpdate,00:00:00:06,
150,MainHouse,2,0,9,00:00:21:51,04:21:50:54,0,0,00:00:12:15,17,0,0,0:0:0:0,04:21:59:36,action,stillUpdate,00:00:00:09,
150,MainHouse,2,0,9,00:00:21:51,04:21:50:54,0,0,00:00:13:37,18,0,0,0:0:0:0,04:22:01:79,action,stillUpdate,00:00:01:22,
150,MainHouse,2,0,9,00:00:21:51,04:21:50:54,0,0,00:00:13:52,19,0,0,0:0:0:0,04:22:02:82,action,stillUpdate,00:00:00:15,
150,MainHouse,2,0,9,00:00:21:51,04:21:50:54,0,0,00:00:14:69,20,0,0,0:0:0:0,04:22:06:82,action,stillUpdate,00:00:01:17,
